country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2008,1,9,3,0,27.6,-131,0,20.9,202,801,710,912,34.8,67,0,981.2,225,4.1,27,,
2008,1,9,4,0,28.1,-161,0,20.7,208,827,782,990,35.8,64.3,0,980.6,230,4.2,19,,
2008,1,9,5,0,28.5,158,0.6,20.5,206,827,782,988,36.8,62.1,0,980,235,4.3,19,,
2008,1,9,6,0,28.4,131,13.3,20.5,338,522,466,804,37.6,62.2,0,979.5,237,4.4,28,,
2008,1,9,7,0,28.1,118,5.6,20.7,215,705,523,738,38.3,64.2,0,979,237,4.5,40,,
2008,1,9,8,0,27.7,114,0,20.9,117,806,479,596,39,66.5,0,978.5,237,4.5,53,,
2008,1,9,9,0,27.4,112,0.4,21.2,85,716,284,369,39.3,69.2,0,978.6,236,4.4,67,,
2008,1,9,10,0,27.1,112,9.5,21.7,47,328,88,135,39.4,72.1,0,979.2,235,4.1,81,,
2008,1,9,11,0,26.9,113,4,22.1,11,53,9,20,39.5,75.2,0,979.8,233,3.8,95,,
2008,1,9,12,0,26.3,116,0,22.2,0,0,0,0,39.3,78.1,0,980.4,231,3.5,108,,
2008,1,9,13,0,25.4,121,0,21.9,0,0,0,0,39,80.8,0,981.1,227,3.2,122,,
2008,1,9,14,0,24.5,130,0,21.6,0,0,0,0,38.7,83.5,0,981.7,222,2.9,134,,
2008,1,9,15,0,24,145,0,21.4,0,0,0,0,38.3,85.5,0,981.8,218,2.8,144,,
2008,1,9,16,0,23.6,167,0,21.3,0,0,0,0,37.9,87,0,981.5,217,2.8,150,,
2008,1,9,17,0,23.3,-166,0,21.2,0,0,0,0,37.5,88.3,0,981.2,215,2.8,150,,
